# dofs | I_eta_1 | I_eta_2 | I_eta^_1 | I_eta^_2
81 | 1.33874e+00 | 1.33874e+00 | 1.10719e+00 | 8.15270e-01
114 | 1.36190e+00 | 1.36190e+00 | 9.71178e-01 | 7.09701e-01
237 | 1.26300e+00 | 1.26300e+00 | 8.50111e-01 | 5.35239e-01
458 | 1.50711e+00 | 1.50711e+00 | 9.42150e-01 | 6.84746e-01
906 | 1.51348e+00 | 1.51348e+00 | 9.88271e-01 | 6.34281e-01
1716 | 1.47310e+00 | 1.47310e+00 | 1.02291e+00 | 6.42170e-01
3275 | 1.46655e+00 | 1.46655e+00 | 1.06909e+00 | 7.28784e-01
6277 | 1.39611e+00 | 1.39611e+00 | 1.07030e+00 | 6.73759e-01
11610 | 1.25593e+00 | 1.25593e+00 | 9.86899e-01 | 6.00624e-01
24252 | 1.13405e+00 | 1.13405e+00 | 8.76961e-01 | 5.08833e-01
