dofs  Ju  Juh  Je  eta_1  eta_2  eta^_1  eta^_2
81  1.65883e+00  1.2916763932e+00  3.6714889133e-01  2.74250e-01  2.74250e-01  3.31605e-01  4.50340e-01 
82  1.65883e+00  1.3711729344e+00  2.8765235009e-01  2.24300e-01  2.24300e-01  2.87419e-01  4.14198e-01 
98  1.65883e+00  1.4099653226e+00  2.4885996192e-01  2.09017e-01  2.09017e-01  2.68794e-01  4.18741e-01 
157  1.65883e+00  1.4996083673e+00  1.5921691720e-01  1.40938e-01  1.40938e-01  1.93929e-01  3.23357e-01 
252  1.65883e+00  1.5455463184e+00  1.1327896609e-01  9.57855e-02  9.57855e-02  1.42660e-01  2.49470e-01 
435  1.65883e+00  1.5438685368e+00  1.1495674769e-01  7.23506e-02  7.23506e-02  1.00744e-01  1.68271e-01 
729  1.65883e+00  1.5742008639e+00  8.4624420624e-02  4.64439e-02  4.64439e-02  6.83871e-02  1.17800e-01 
1224  1.65883e+00  1.5925336934e+00  6.6291591085e-02  2.97165e-02  2.97165e-02  4.47308e-02  7.76072e-02 
2099  1.65883e+00  1.6311225443e+00  2.7702740199e-02  1.67023e-02  1.67023e-02  2.70738e-02  4.60793e-02 
3884  1.65883e+00  1.6445506451e+00  1.4274639353e-02  9.76187e-03  9.76187e-03  1.56380e-02  2.95409e-02 
7435  1.65883e+00  1.6512115371e+00  7.6137473818e-03  5.47650e-03  5.47650e-03  8.84791e-03  1.89324e-02 
13926  1.65883e+00  1.6547949346e+00  4.0303498522e-03  2.93550e-03  2.93550e-03  5.08922e-03  1.07603e-02 
27697  1.65883e+00  1.6568416889e+00  1.9835955530e-03  1.63762e-03  1.63762e-03  2.74735e-03  5.25030e-03 
