dofs  Ju  Juh  Je  eta_1  eta_2  eta^_1  eta^_2
81  1.65883e+00  1.2916763932e+00  3.6714889133e-01  2.74250e-01  2.74250e-01  3.31605e-01  4.50340e-01 
122  1.65883e+00  1.4467154986e+00  2.1210978586e-01  1.58596e-01  1.58596e-01  2.13843e-01  2.80476e-01 
266  1.65883e+00  1.5448805153e+00  1.1394476920e-01  8.50593e-02  8.50593e-02  1.18023e-01  1.49643e-01 
501  1.65883e+00  1.5997777836e+00  5.9047500894e-02  4.47127e-02  4.47127e-02  6.66415e-02  8.18258e-02 
927  1.65883e+00  1.6269827431e+00  3.1842541416e-02  2.41175e-02  2.41175e-02  3.54779e-02  4.49528e-02 
1734  1.65883e+00  1.6430623578e+00  1.5762926687e-02  1.25105e-02  1.25105e-02  1.79489e-02  2.19694e-02 
3137  1.65883e+00  1.6513693682e+00  7.4559163113e-03  6.10719e-03  6.10719e-03  8.37216e-03  1.04740e-02 
5767  1.65883e+00  1.6555543458e+00  3.2709387345e-03  2.83535e-03  2.83535e-03  3.68434e-03  4.49941e-03 
10709  1.65883e+00  1.6575400657e+00  1.2852187991e-03  1.21180e-03  1.21180e-03  1.54776e-03  1.82441e-03 
21846  1.65883e+00  1.6583481361e+00  4.7714840396e-04  5.19617e-04  5.19617e-04  6.60639e-04  7.36834e-04 
